id,title,year,directors,writers,date_in_theaters,duration,genres,actors
168,Star Wars: Episode III - Revenge of the Sith,2005,George Lucas,George Lucas,05/19/2005,140,"Science Fiction & Fantasy,Action & Adventure","Hayden Christensen,Natalie Portman,Ewan McGregor"
169,Star Wars: The Clone Wars,2008,Dave Filoni,"Henry Gilroy,Steven Melching",08/15/2008,98,"Animation,Action & Adventure","Matt Lanter,Nika Futterman,Tom Kane"
170,Star Wars: The Clone Wars,2008,George Lucas,,10/03/2008,23,"Animation,Action & Adventure","Tom Kane,Dee Bradley Baker,Matt Lanter"
171,Hera's Heroes,2016,"Melchior Zwyer,Justin Ridge","Simon Kinberg,Dave Filoni",10/15/2016,22,"Animation,Action & Adventure","Taylor Gray,Vanessa Marshall,Freddie Prinze Jr."
172,The Antilles Extraction,2016,"Saul Ruiz,Justin Ridge","Simon Kinberg,Dave Filoni",10/08/2016,22,"Animation,Action & Adventure","Taylor Gray,Vanessa Marshall,Freddie Prinze Jr."
173,The Last Battle,2016,,,10/22/2016,30,"Animation,Action & Adventure","Taylor Gray,Vanessa Marshall,Tiya Sircar"
174,Shroud of Darkness,2016,"Saul Ruiz,Dave Filoni","Dave Filoni,Simon Kinberg",03/02/2016,22,"Animation,Action & Adventure","Taylor Gray,Vanessa Marshall,Freddie Prinze Jr."
175,Fire Across the Galaxy,2015,Dave Filoni,"Dave Filoni,Simon Kinberg",03/02/2015,22,"Animation,Action & Adventure","Taylor Gray,Vanessa Marshall,Freddie Prinze Jr."
176,Twilight of the Apprentice,2016,Dave Filoni,"Dave Filoni,Simon Kinberg",03/30/2016,44,"Animation,Action & Adventure","Taylor Gray,Freddie Prinze Jr.,Ashley Eckstein"
177,The Unspoken,2016,Sheldon Wilson,Sheldon Wilson,10/28/2016,90,Thriller,"Jodelle Ferland,Sunny Suljic,Pascale Hutton"
178,Priceless,2016,Ben Smallbone,"Chris Dowling,Tyler Poelle",10/14/2016,97,"Drama,Romance","Joel Smallbone,Derek Blakeney,Cory J. Broussard"
179,God's Not Dead 2,2016,,Brad Jones,04/01/2016,41,"Television,Comedy","David Gobble,Brad Jones"
180,HoneyBee,2016,Nicki Harris,Nicki Harris,10/18/2016,94,Horror,"Jane Wiedlin,Connie Saltzman,Lorin Partalis"
181,Before the Flood,2016,Fisher Stevens,Mark Monroe,10/30/2016,96,"Documentary,News","Elon Musk,Pope Francis,Ban Ki-Moon"
182,First Girl I Loved,2016,Kerem Sanga,Kerem Sanga,10/18/2016,91,"Drama,Romance","Brianna Hildebrand,Pamela Adlon,Dylan Gelula"
183,Good Kids,2016,Chris McCoy,Chris McCoy,10/21/2016,86,Comedy,"Zoey Deutch,Ashley Judd,Nicholas Braun"
184,Ellen: The Ellen DeGeneres Show,2003,Ellen DeGeneres,,09/08/2003,60,"Television,Comedy","Ellen DeGeneres,Stephen Boss,Anthony Okungbowa"
185,The Tonight Show with Conan O'Brien,2009,,,06/01/2009,62,"Musical & Performing Arts,Television,Comedy","Conan O'Brien,Andy Richter,Jerry Vivino"
186,Saturday Night Live: 40th Anniversary Special,2015,Don Roy King,"James Anderson,Fred Armisen",02/15/2015,210,Comedy,"Fred Armisen,Dan Aykroyd,Alec Baldwin"
187,Late Night with Conan O'Brien,1993,,,09/13/1993,60,"Musical & Performing Arts,Television,Comedy","Conan O'Brien,Andy Richter,Joel Godard"
188,Late Night with David Letterman,1982,,,02/01/1982,60,"Musical & Performing Arts,Television,Comedy","David Letterman,Paul Shaffer,Bill Wendell"
189,Late Show with David Letterman,1993,David Letterman,,08/30/1993,60,"Musical & Performing Arts,Television,Comedy","David Letterman,Paul Shaffer,Alan Kalter"
190,Late Night with Jimmy Fallon,2009,,,03/02/2009,60,"Musical & Performing Arts,Television,Comedy","Jimmy Fallon,The Roots,Steve Higgins"
191,Conan,2010,"Conan O'Brien,Bruce Timm",,11/08/2010,60,"Musical & Performing Arts,Television,Comedy","Conan O'Brien,Andy Richter,Jimmy Vivino and the Basic Cable Band"
192,Jimmy Kimmel Live!,2003,Jimmy Kimmel,,01/26/2003,60,"Musical & Performing Arts,Television,Comedy","Jimmy Kimmel,Cleto Escobedo III,Dicky Barrett"
193,Lin-Manuel Miranda/Twenty One Pilots,2016,Don Roy King,"Chris Kelly,Sarah Schneider",10/08/2016,68,"Musical & Performing Arts,Comedy","Lin-Manuel Miranda,Vanessa Bayer,Beck Bennett"
194,Tom Hanks/Lady Gaga,2016,,,10/22/2016,90,"Musical & Performing Arts,Comedy","Vanessa Bayer,Beck Bennett,Aidy Bryant"
195,Emily Blunt/Bruno Mars,2016,,,10/15/2016,48,"Musical & Performing Arts,Comedy","Vanessa Bayer,Beck Bennett,Aidy Bryant"
196,Jimmy Fallon/Justin Timberlake,2013,Don Roy King,"Seth Meyers,Colin Jost",12/21/2013,90,"Musical & Performing Arts,Comedy","Vanessa Bayer,Aidy Bryant,Taran Killam"
197,Justin Timberlake,2006,"Don Roy King,Akiva Schaffer","Doug Abeles,James Anderson",12/16/2006,44,"Musical & Performing Arts,Comedy","Fred Armisen,Will Forte,Bill Hader"
198,Betty White/Jay-Z,2010,"Don Roy King,Jonathan Krisel","Doug Abeles,James Anderson",05/08/2010,47,"Musical & Performing Arts,Comedy","Fred Armisen,Will Forte,Bill Hader"
199,The Tonight Show Starring Jimmy Fallon,2014,,,02/17/2014,60,"Musical & Performing Arts,Television,Comedy","Jimmy Fallon,The Roots,Steve Higgins"
200,Big Time Rush,2009,Scott Fellows,,11/28/2009,25,"Kids & Family,Musical & Performing Arts,Comedy","Kendall Schmidt,James Maslow,Carlos PenaVega"
201,Santa Hunters,2014,Savage Steve Holland,Jamie Nash,11/28/2014,65,"Kids & Family,Comedy","Benjamin Flores Jr.,Breanna Yde,Mace Coronel"
202,Jinxed,2013,Stephen Herek,"Neal Israel,Aury Wallington",11/29/2013,75,"Kids & Family,Comedy","Ciara Bravo,Jacob Bertrand,Elena Kampouris"
203,Victorious,2010,Dan Schneider,,03/27/2010,30,"Drama,Kids & Family,Comedy","Victoria Justice,Leon Thomas III,Matt Bennett"
204,100 Things to Do Before High School,2014,Scott Fellows,,11/11/2014,30,"Kids & Family,Comedy","Isabela Moner,Jaheem Toombs,Owen Joyner"
205,Game Shakers,2015,Dan Schneider,,09/12/2015,30,"Kids & Family,Comedy","Thomas Kuc,Cree Cicchino,Madisyn Shipman"
206,Splitting Adam,2015,Scott McAboy,"John E. Deaver,William S. Walker",02/16/2015,91,"Kids & Family,Action & Adventure,Comedy","Jace Norman,Isabela Moner,Jack Griffo"
207,Sam & Cat,2013,Dan Schneider,,06/08/2013,30,"Drama,Kids & Family,Comedy","Jennette McCurdy,Ariana Grande,Cameron Ocasio"
208,"Nicky, Ricky, Dicky & Dawn",2014,"Michael Feldman,Matt Fleckenstein",,2014,30,"Kids & Family,Comedy","Lizzy Greene,Casey Simpson,Aidan Gallagher"
209,Henry Danger,2014,"Dan Schneider,Dana Olsen",,2014,30,"Kids & Family,Action & Adventure,Comedy","Sean Ryan Fox,Ella Anderson,Jace Norman"
210,Bella and the Bulldogs,2015,"Jonathan Butler,Gabriel Garza",,01/17/2015,30,"Kids & Family,Comedy","Brec Bassinger,Coy Stewart,Jackie Radinsky"
211,Haunted Hathaways,2013,Robert Peacock,,07/13/2013,30,"Science Fiction & Fantasy,Kids & Family,Comedy","Chico Benymon,Ginifer King,Amber Frank"
212,"Thundermans: Secret Revealed, Part 1",2016,Jonathan Judge,Jed Spingarn,10/10/2016,23,"Kids & Family,Action & Adventure,Comedy","Kira Kosarin,Jack Griffo,Addison Riecke"
213,Happy Heroween,2016,,,10/22/2016,23,"Kids & Family,Action & Adventure,Comedy","Kira Kosarin,Jack Griffo,Addison Riecke"
214,"Thundermans: Secret Revealed, Part 2",2016,"Robbie Countryman,Jonathan Judge",Dan Serafin,10/10/2016,23,"Kids & Family,Action & Adventure,Comedy","Kira Kosarin,Jack Griffo,Addison Riecke"
215,Can't Spy Me Love,2016,Eric Dean Seaton,Dicky Murphy,07/23/2016,22,"Kids & Family,Action & Adventure,Comedy","Diego Velazquez,Chris Tallman,Rosa Blasi"
216,Pheebs Will Rock You,2014,Robbie Countryman,"Jed Spingarn,Sean William Cunningham",10/04/2014,23,"Kids & Family,Action & Adventure,Comedy","Kira Kosarin,Jack Griffo,Addison Riecke"
217,Back to School,2016,Robbie Countryman,Jed Spingarn,08/13/2016,22,"Kids & Family,Action & Adventure,Comedy","Kira Kosarin,Jack Griffo,Addison Riecke"
218,She's So European,2013,Jason Winer,"John R. Montgomery,David E. Kelley",10/24/2013,30,Comedy,"Robin Williams,Sarah Michelle Gellar,James Wolk"
219,Daredevil,2015,Drew Goddard,,04/10/2015,54,"Crime,Action & Adventure","Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll"
220,True Detective,2014,Nic Pizzolatto,,01/12/2014,55,"Drama,Crime,Mystery & Suspense","Vince Vaughn,Colin Farrell,Rachel McAdams"
221,Better Call Saul,2015,"Vince Gilligan,Peter Gould",,02/08/2015,46,"Drama,Crime","Bob Odenkirk,Jonathan Banks,Rhea Seehorn"
222,Supernatural,2005,Eric Kripke,,09/13/2005,44,"Drama,Science Fiction & Fantasy,Horror","Jared Padalecki,Jensen Ackles,Jim Beaver"
223,Sherlock,2010,"Mark Gatiss,Steven Moffat",,10/24/2010,88,"Drama,Crime,Mystery & Suspense","Benedict Cumberbatch,Martin Freeman,Una Stubbs"
224,Laverne & Shirley,1976,"Lowell Ganz,Garry Marshall,Mark Rothman",,01/27/1976,30,"Kids & Family,Comedy","Penny Marshall,Cindy Williams,David L. Lander"
225,Lost,2004,"J.J. Abrams,Jeffrey Lieber,Damon Lindelof",,09/22/2004,44,"Drama,Science Fiction & Fantasy,Action & Adventure","Naveen Andrews,Matthew Fox,Jorge Garcia"
226,Coefficient of Drag,2008,Guy Ferland,"Shawn Ryan,Kurt Sutter",09/02/2008,60,"Drama,Crime,Thriller","Michael Chiklis,Catherine Dent,Paula Garcs"
227,Bewitched,1964,Sol Saks,,09/17/1964,25,"Science Fiction & Fantasy,Kids & Family,Comedy","Elizabeth Montgomery,Dick York,Dick Sargent"
228,The Addams Family,1964,David Levy,,09/18/1964,30,"Kids & Family,Horror,Comedy","John Astin,Carolyn Jones,Ted Cassidy"
229,I Dream of Jeannie,1965,Sidney Sheldon,,09/18/1965,30,"Science Fiction & Fantasy,Kids & Family,Comedy","Barbara Eden,Larry Hagman,Bill Daily"
230,The Munsters,1964,"Ed Haas,Norm Liebmann",,09/24/1964,30,"Science Fiction & Fantasy,Kids & Family,Comedy","Fred Gwynne,Al Lewis,Yvonne De Carlo"
231,Vikings,2013,Michael Hirst,,03/03/2013,44,"Drama,History,Action & Adventure","Travis Fimmel,Clive Standen,Gustaf Skarsgrd"
232,Lost in Space,1965,Irwin Allen,,1965,60,"Kids & Family,Action & Adventure,Comedy","Guy Williams,June Lockhart,Mark Goddard"
233,Dexter,2006,James Manos Jr.,,10/01/2006,53,"Drama,Crime,Mystery & Suspense","Michael C. Hall,Jennifer Carpenter,David Zayas"
234,Prison Break,2005,Paul Scheuring,,08/29/2005,44,"Drama,Crime,Action & Adventure","Dominic Purcell,Wentworth Miller,Amaury Nolasco"
235,Fear the Walking Dead,2015,"Dave Erickson,Robert Kirkman",,08/23/2015,60,"Drama,Science Fiction & Fantasy,Horror","Kim Dickens,Cliff Curtis,Frank Dillane"
236,Game of Thrones,2011,"David Benioff,D.B. Weiss",,04/17/2011,56,"Drama,Science Fiction & Fantasy,Action & Adventure","Emilia Clarke,Peter Dinklage,Kit Harington"
237,Breaking Bad,2008,Vince Gilligan,,01/20/2008,49,"Drama,Crime,Thriller","Bryan Cranston,Aaron Paul,Anna Gunn"
238,Too Far Gone,2013,Ernest R. Dickerson,"Frank Darabont,Robert Kirkman",12/01/2013,43,"Drama,Science Fiction & Fantasy,Horror","Andrew Lincoln,Norman Reedus,Steven Yeun"
239,No Sanctuary,2014,Greg Nicotero,"Frank Darabont,Robert Kirkman",10/12/2014,42,"Drama,Science Fiction & Fantasy,Horror","Andrew Lincoln,Norman Reedus,Steven Yeun"
240,No Way Out,2016,Greg Nicotero,"Frank Darabont,Robert Kirkman",02/14/2016,43,"Drama,Science Fiction & Fantasy,Horror","Andrew Lincoln,Norman Reedus,Steven Yeun"
241,Shazam!,1974,,,09/07/1974,30,"Science Fiction & Fantasy,Kids & Family,Action & Adventure","Michael Gray,Les Tremayne,Jackson Bostwick"
242,The All-New Super Friends Hour,1977,,,09/10/1977,60,"Animation,Action & Adventure","Norman Alden,Michael Bell,Danny Dark"
243,"Phantom of the Roller Coaster, Part 2",1979,John Newland,"William Moulton Marston,Stanley Ralph Ross",09/11/1979,42,"Drama,Action & Adventure","Lynda Carter,Lyle Waggoner,Jared Martin"
244,The Batman/Superman Hour,1968,,,09/14/1968,60,"Animation,Action & Adventure","Casey Kasem,Ted Knight,Olan Soule"
245,Batman,1966,"Bill Finger,Lorenzo Semple Jr.,William Dozier",,01/12/1966,25,"Action & Adventure,Comedy","Adam West,Burt Ward,Alan Napier"
246,The Boy Who Knew Her Secret: Part 1,1979,Leslie H. Martinson,"William Moulton Marston,Stanley Ralph Ross",05/28/1979,49,"Drama,Action & Adventure","Lynda Carter,Lyle Waggoner,Michael Shannon"
247,Challenge of the Superfriends,1978,,,09/08/1978,30,"Kids & Family,Animation,Action & Adventure","Jack Angel,Marlene Aragon,Lewis Bailey"
248,Halloween,1978,John Carpenter,"John Carpenter,Debra Hill",10/25/1978,91,"Thriller,Horror","Donald Pleasence,Jamie Lee Curtis,Tony Moran"
249,The Boy Who Knew Her Secret: Part 2,1979,Leslie H. Martinson,"William Moulton Marston,Stanley Ralph Ross",05/29/1979,46,"Drama,Action & Adventure","Lynda Carter,Lyle Waggoner,Michael Shannon"
250,Adventures of Superman,1952,,,09/19/1952,30,"Crime,Action & Adventure","George Reeves,Noel Neill,John Hamilton"
251,Diary of a Mad Black Woman,2005,Darren Grant,"Tyler Perry,Tyler Perry",02/25/2005,116,"Drama,Romance,Comedy","Kimberly Elise,Steve Harris,Tyler Perry"
252,Madea's Witness Protection,2012,Tyler Perry,"Tyler Perry,Tyler Perry",06/29/2012,114,"Drama,Crime,Comedy","Tyler Perry,Eugene Levy,Denise Richards"
253,A Madea Christmas,2013,Tyler Perry,"Tyler Perry,Tyler Perry",12/13/2013,100,"Drama,Comedy","Tyler Perry,Chad Michael Murray,Tika Sumpter"
254,Madea Gets a Job,2013,Tyler Perry,Tyler Perry,February 2013,145,Comedy,"Chandra Currelley-Young,Melonie Daniels,Tamar Davis"
255,Madea's Neighbors from Hell,2014,Tyler Perry,Tyler Perry,04/22/2014,138,"Drama,Musical & Performing Arts,Comedy","Jayna Brown,Cassi Davis,Rhonda Davis"
256,Mr. Mom,1984,Terry Hughes,"Stan Dragoti,Frank Dungan",11/30/1984,,Comedy,"Barry Van Dyke,Rebecca York,Brendon Blincoe"
257,Career Opportunities,1991,Bryan Gordon,John Hughes,03/29/1991,83,"Romance,Comedy","Frank Whaley,Jennifer Connelly,Dermot Mulroney"
258,Zoe Saldana/Jennifer Saunders/Ron Suskind,2016,Jim Hoskinson,"Michael Brumm,Nate Charny",07/18/2016,62,"Television,Comedy","Stephen Colbert,Zoe Saldana,Jennifer Saunders"
259,Delta House,1979,,,01/18/1979,30,Comedy,"John Vernon,Stephen Furst,Bruce McGill"
260,Star Trek,1966,Gene Roddenberry,,09/08/1966,50,"Action & Adventure,Mystery & Suspense","William Shatner,Leonard Nimoy,DeForest Kelley"
261,Terminator Salvation,2009,McG,"John Brancato,Michael Ferris",05/21/2009,115,"Science Fiction & Fantasy,Action & Adventure","Christian Bale,Sam Worthington,Anton Yelchin"
262,Fast & Furious 6,2013,Justin Lin,"Chris Morgan,Gary Scott Thompson",05/24/2013,130,"Thriller,Crime,Action & Adventure","Vin Diesel,Paul Walker,Dwayne Johnson"
263,The Bourne Supremacy,2004,Paul Greengrass,"Robert Ludlum,Tony Gilroy",07/23/2004,108,"Thriller,Action & Adventure,Mystery & Suspense","Matt Damon,Franka Potente,Joan Allen"
264,Avatar,2009,James Cameron,James Cameron,12/18/2009,162,"Science Fiction & Fantasy,Action & Adventure","Sam Worthington,Zoe Saldana,Sigourney Weaver"
265,Guardians of the Galaxy Vol. 2,2017,James Gunn,"James Gunn,Dan Abnett",05/05/2017,,"Science Fiction & Fantasy,Action & Adventure","Chris Pratt,Zoe Saldana,Karen Gillan"
266,Mission: Impossible - Rogue Nation,2015,Christopher McQuarrie,"Christopher McQuarrie,Christopher McQuarrie",07/31/2015,131,"Thriller,Action & Adventure","Tom Cruise,Rebecca Ferguson,Jeremy Renner"
267,Guardians of the Galaxy,2014,James Gunn,"James Gunn,Nicole Perlman",08/01/2014,121,"Science Fiction & Fantasy,Action & Adventure","Chris Pratt,Vin Diesel,Bradley Cooper"
268,Now You See Me 2,2016,Jon M. Chu,"Ed Solomon,Ed Solomon",06/10/2016,129,"Action & Adventure,Comedy","Jesse Eisenberg,Mark Ruffalo,Woody Harrelson"
269,Jane Fonda/Leslie Jones/Kay Cannon,2015,,Andrew Law,05/12/2015,60,"Television,Comedy","Seth Meyers,Jane Fonda,Leslie Jones"
270,Mechanic: Resurrection,2016,Dennis Gansel,"Philip Shelby,Tony Mosher",08/26/2016,98,"Thriller,Crime,Action & Adventure","Jason Statham,Jessica Alba,Tommy Lee Jones"
271,The Purge: Election Year,2016,James DeMonaco,James DeMonaco,07/01/2016,109,"Science Fiction & Fantasy,Action & Adventure,Horror","Frank Grillo,Elizabeth Mitchell,Mykelti Williamson"
272,Sully,2016,Clint Eastwood,"Todd Komarnicki,Chesley Sullenberger",09/09/2016,96,"Drama,Biography","Tom Hanks,Aaron Eckhart,Laura Linney"
273,Snowden,2016,Oliver Stone,"Kieran Fitzgerald,Oliver Stone",09/16/2016,134,"Drama,Thriller,Biography","Joseph Gordon-Levitt,Shailene Woodley,Melissa Leo"
274,The STIX Movie,2016,Mitchell Tansell,"Andrew Brauer,Mitchell Tansell",10/07/2016,42,"Animation,Action & Adventure,Comedy","Mitchell Tansell,Andrew Brauer,Megan Maravilla"
275,Jack Reacher,2012,Christopher McQuarrie,"Lee Child,Christopher McQuarrie",12/21/2012,130,"Crime,Action & Adventure,Mystery & Suspense","Tom Cruise,Rosamund Pike,Richard Jenkins"
276,The Magnificent Seven,2016,Antoine Fuqua,"Akira Kurosawa,Shinobu Hashimoto",09/23/2016,133,"Western,Action & Adventure","Denzel Washington,Chris Pratt,Ethan Hawke"
277,She's Having a Baby,1988,John Hughes,John Hughes,02/05/1988,106,"Drama,Romance,Comedy","Kevin Bacon,Elizabeth McGovern,Alec Baldwin"
278,Dutch,1991,Peter Faiman,John Hughes,07/19/1991,107,"Drama,Comedy","Ed O'Neill,Ethan Embry,JoBeth Williams"
279,Savage Islands,1983,Ferdinand Fairfax,"John Hughes,David Odell",11/18/1983,99,"Action & Adventure,Comedy","Tommy Lee Jones,Michael O'Keefe,Max Phipps"
280,Reach the Rock,1998,Bill Ryan,John Hughes,10/16/1998,100,"Drama,Comedy","William Sadler,Alessandro Nivola,Bruce Norris"
281,American Adventure,2000,Troy Miller,"Steve Faber,Bob Fisher",05/08/2000,,"Drama,Action & Adventure","Agnes Bruckner,Gary Cole,Helen Slater"
282,Uncle Bun,,Bhadran,"P. Balachandran,Hari Pothan",,136,"Drama,Romance,Comedy","Mohanlal,Kushboo,Nedumudi Venu"
283,Class Reunion,1982,Michael Miller,John Hughes,10/29/1982,84,"Horror,Comedy","Gerrit Graham,Michael Lerner,Misty Rowe"
284,Uncle Buck,1989,John Hughes,John Hughes,08/16/1989,100,Comedy,"John Candy,Macaulay Culkin,Jean Louisa Kelly"
285,Uncle Buck,2016,,,06/14/2016,30,Comedy,"Mike Epps,James Lesure,Iman Benson"
286,Deadpool,2016,Tim Miller,"Rhett Reese,Paul Wernick",02/12/2016,108,"Action & Adventure,Comedy","Ryan Reynolds,Morena Baccarin,T.J. Miller"
287,Mission: Impossible - Ghost Protocol,2011,Brad Bird,"Bruce Geller,Josh Appelbaum",12/21/2011,133,"Thriller,Action & Adventure","Tom Cruise,Jeremy Renner,Simon Pegg"
288,Warcraft: The Beginning,2016,Duncan Jones,"Charles Leavitt,Duncan Jones",06/10/2016,123,"Science Fiction & Fantasy,Action & Adventure","Travis Fimmel,Paula Patton,Ben Foster"
289,Star Trek,2009,J.J. Abrams,"Roberto Orci,Alex Kurtzman",05/08/2009,127,"Science Fiction & Fantasy,Action & Adventure","Chris Pine,Zachary Quinto,Simon Pegg"
290,Star Trek Into Darkness,2013,J.J. Abrams,"Roberto Orci,Alex Kurtzman",05/16/2013,132,"Science Fiction & Fantasy,Action & Adventure","Chris Pine,Zachary Quinto,Zoe Saldana"
291,Batman v Superman: Dawn of Justice,2016,Zack Snyder,"Chris Terrio,David S. Goyer",03/25/2016,151,"Science Fiction & Fantasy,Action & Adventure","Ben Affleck,Henry Cavill,Amy Adams"
292,Star Wars: The Force Awakens,2015,J.J. Abrams,"Lawrence Kasdan,J.J. Abrams",12/18/2015,138,"Science Fiction & Fantasy,Action & Adventure","Daisy Ridley,John Boyega,Oscar Isaac"
293,Jason Bourne,2016,Paul Greengrass,"Paul Greengrass,Christopher Rouse",07/29/2016,123,"Thriller,Action & Adventure","Matt Damon,Tommy Lee Jones,Alicia Vikander"
294,Captain America: Civil War,2016,"Anthony Russo,Joe Russo","Christopher Markus,Stephen McFeely",05/06/2016,147,"Science Fiction & Fantasy,Action & Adventure","Chris Evans,Robert Downey Jr.,Scarlett Johansson"
295,Ghostbusters II,1989,Ivan Reitman,"Dan Aykroyd,Harold Ramis",06/16/1989,108,"Science Fiction & Fantasy,Action & Adventure,Comedy","Bill Murray,Dan Aykroyd,Sigourney Weaver"
296,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Dave Green,"Josh Appelbaum,Andr Nemec",06/03/2016,112,"Action & Adventure,Comedy","Megan Fox,Will Arnett,Tyler Perry"
297,X-Men: Apocalypse,2016,Bryan Singer,"Simon Kinberg,Bryan Singer",05/27/2016,144,"Science Fiction & Fantasy,Action & Adventure","James McAvoy,Michael Fassbender,Jennifer Lawrence"
298,Suicide Squad,2016,David Ayer,David Ayer,08/05/2016,123,"Science Fiction & Fantasy,Action & Adventure","Will Smith,Jared Leto,Margot Robbie"
299,Mike and Dave Need Wedding Dates,2016,Jake Szymanski,"Andrew Jay Cohen,Brendan O'Brien",07/08/2016,98,"Romance,Action & Adventure,Comedy","Zac Efron,Adam Devine,Anna Kendrick"
300,Independence Day: Resurgence,2016,Roland Emmerich,"Nicolas Wright,James A. Woods",06/24/2016,120,"Science Fiction & Fantasy,Action & Adventure","Liam Hemsworth,Jeff Goldblum,Bill Pullman"
301,The Legend of Tarzan,2016,David Yates,"Adam Cozad,Craig Brewer",07/01/2016,110,"Drama,Action & Adventure","Alexander Skarsgrd,Rory J. Saper,Christian Stevens"
302,Central Intelligence,2016,Rawson Marshall Thurber,"Ike Barinholtz,David Stassen",06/17/2016,107,"Crime,Action & Adventure,Comedy","Dwayne Johnson,Kevin Hart,Danielle Nicolet"
303,Ghostbusters,1984,Ivan Reitman,"Dan Aykroyd,Harold Ramis",06/08/1984,105,"Action & Adventure,Comedy","Bill Murray,Dan Aykroyd,Sigourney Weaver"
304,Taxi Driver,1976,Martin Scorsese,Paul Schrader,02/08/1976,113,"Drama,Crime","Robert De Niro,Jodie Foster,Cybill Shepherd"
305,The Maiden Heist,2010,Peter Hewitt,Michael LeSieur,07/08/2010,90,"Crime,Comedy","Christopher Walken,Joseph McKenna,Wynn Everett"
306,Nocturnal Animals,2016,Tom Ford,"Tom Ford,Austin Wright",12/09/2016,117,"Drama,Thriller","Amy Adams,Jake Gyllenhaal,Michael Shannon"
307,Masterminds,2016,Jared Hess,"Chris Bowman,Hubbel Palmer",09/30/2016,95,"Crime,Action & Adventure,Comedy","Kate McKinnon,Kristen Wiig,Zach Galifianakis"
